Code,Name,IndexSED,DecileSED,IndexSEAD,DecileSEAD,IndexER,DecileER,IndexEO,DecileEO,Population
52310,Cuballing (S),1007,8,988,8,1038,9,988,8,863
52380,Cue (S),899,2,905,2,875,1,985,8,194
52450,Cunderdin (S),1007,8,983,7,1000,7,959,6,1457
52520,Dalwallinu (S),1035,9,1014,9,1028,9,995,8,1429
52590,Dandaragan (S),1003,8,983,7,1029,9,945,5,3213
52660,Dardanup (S),1009,8,980,7,1049,10,919,3,14033
52730,Denmark (S),1003,8,988,8,1005,7,1022,9,5845
52800,Derby-West Kimberley (S),726,1,796,1,734,1,884,1,7730
52870,Donnybrook-Balingup (S),996,7,980,7,1029,9,958,6,5870
52940,Dowerin (S),986,6,980,7,1004,7,1007,8,690
53010,Dumbleyung (S),1002,8,996,8,1015,8,1030,9,671
53080,Dundas (S),873,1,873,1,882,1,916,2,772
53150,East Fremantle (T),1088,10,1119,10,1079,10,1137,10,7376
53220,East Pilbara (S),937,3,945,4,896,2,942,4,10591
53290,Esperance (S),998,7,975,7,1013,8,944,5,14236
53360,Exmouth (S),1025,9,1007,8,1011,8,981,7,2728
53430,Fremantle (C),1024,9,1047,9,994,7,1086,10,28893
53570,Gingin (S),973,5,958,5,1028,9,915,2,5217
53640,Gnowangerup (S),998,7,990,8,1005,7,991,8,1215
53710,Goomalling (S),975,5,963,6,988,6,970,6,1033
53780,Gosnells (C),987,6,981,7,1020,9,942,4,118073
53800,Greater Geraldton (C),968,5,956,5,989,6,930,3,38634
53920,Halls Creek (S),609,1,718,1,636,1,865,1,3269
53990,Harvey (S),1006,8,984,7,1046,10,926,3,26553
54060,Irwin (S),976,5,956,5,999,7,929,3,3569
54130,Jerramungup (S),1033,9,1017,9,1049,10,1029,9,1109
54170,Joondalup (C),1078,10,1079,10,1097,10,1048,9,154445
54200,Kalamunda (S),1039,9,1027,9,1063,10,983,7,57449
54280,Kalgoorlie/Boulder (C),1009,8,991,8,1015,8,938,4,30059
54310,Karratha (C),1035,9,1035,9,1005,8,968,6,21473
54340,Katanning (S),906,2,907,2,951,3,877,1,4151
54410,Kellerberrin (S),913,2,910,2,973,4,929,3,1224
54480,Kent (S),1063,10,1046,9,1073,10,1055,9,559
54550,Kojonup (S),999,7,991,8,1015,8,1007,8,1985
54620,Kondinin (S),989,6,979,7,995,7,998,8,873
54690,Koorda (S),952,4,935,4,994,6,939,4,414
54760,Kulin (S),1035,9,1021,9,1044,9,1030,9,765
54830,Kwinana (C),972,5,960,6,1004,7,924,3,38918
54900,Lake Grace (S),1038,9,1017,9,1025,9,1021,9,1268
54970,Laverton (S),709,1,770,1,722,1,914,2,1153
55040,Leonora (S),946,3,932,3,920,2,913,2,1411
55110,Mandurah (C),971,5,958,5,1006,8,927,3,80813
55180,Manjimup (S),964,5,944,4,983,5,929,3,9250
55250,Meekatharra (S),827,1,862,1,834,1,975,7,1067
55320,Melville (C),1073,10,1089,10,1063,10,1093,10,98083
55390,Menzies (S),743,1,804,1,716,1,896,2,490
55460,Merredin (S),971,5,953,5,977,5,936,4,3350
55530,Mingenew (S),1018,8,992,8,1022,9,976,7,455
55600,Moora (S),981,6,960,6,992,6,943,4,2428
55670,Morawa (S),949,4,947,5,958,3,978,7,750
55740,Mosman Park (T),1078,10,1114,10,1056,10,1145,10,8757
55810,Mount Magnet (S),867,1,870,1,877,1,915,2,482
55880,Mount Marshall (S),1009,8,1003,8,1022,9,1048,9,527
55950,Mukinbudin (S),1023,9,998,8,1033,9,982,7,555
56090,Mundaring (S),1045,9,1036,9,1078,10,1005,8,38157
56160,Murchison (S),832,1,869,1,812,1,923,3,153
56230,Murray (S),962,5,947,5,1025,9,896,2,16698
56300,Nannup (S),959,4,951,5,985,6,988,8,1328
56370,Narembeen (S),1015,8,997,8,1021,9,978,7,809
56460,Narrogin (S),959,4,947,5,974,5,957,5,5162
56580,Nedlands (C),1117,10,1161,10,1114,10,1179,10,21121
56620,Ngaanyatjarraku (S),559,1,689,1,591,1,884,1,1606
56730,Northam (S),942,3,930,3,977,5,911,2,11112
56790,Northampton (S),952,4,937,4,982,5,925,3,3319
56860,Nungarin (S),953,4,944,4,968,4,962,6,257
56930,Peppermint Grove (S),1123,10,1162,10,1115,10,1185,10,1636
57000,Perenjori (S),1010,8,998,8,1020,9,991,8,617
57080,Perth (C),1049,10,1087,10,918,2,1129,10,21797
57140,Pingelly (S),907,2,908,2,953,3,931,3,1146
57210,Plantagenet (S),947,4,938,4,986,6,940,4,5079
57280,Port Hedland (T),1019,8,1017,9,984,6,961,6,14469
57350,Quairading (S),933,3,929,3,968,4,940,4,1019
57420,Ravensthorpe (S),991,7,979,7,993,6,968,6,1733
57490,Rockingham (C),1001,7,986,7,1035,9,941,4,125114
57630,Sandstone (S),945,3,935,4,994,7,929,3,89
57700,Serpentine-Jarrahdale (S),1040,9,1022,9,1101,10,946,5,26833
57770,Shark Bay (S),988,6,958,5,944,2,966,6,946
57840,South Perth (C),1064,10,1089,10,1018,8,1120,10,41989
57910,Stirling (C),1028,9,1040,9,1011,8,1048,9,210208
57980,Subiaco (C),1071,10,1112,10,993,6,1171,10,19359
58050,Swan (C),1003,8,994,8,1041,9,953,5,133851
58190,Tammin (S),951,4,947,5,981,5,946,5,402
58260,Three Springs (S),985,6,972,6,1000,7,973,7,594
58330,Toodyay (S),996,7,977,7,1030,9,954,5,4439
58400,Trayning (S),921,2,923,3,966,4,980,7,350
58470,Upper Gascoyne (S),655,1,737,1,702,1,894,2,278
